,level,exp,rocket,glider,friends,likes,GameTime,NumberOfAnnotatedGraffiti,totalAnnotatedGraffiti,Graffiti_avgt,NumberOfDialoguesActivated,totalAnnotatedDialogues,Dialogue_avgt,Age,Gender,Education,General engagement
129,7.0,-0.176,0.0,0.0,0.0,9.1660777385159,0.48041506235446635,2.0,0.6,0.3164469471572102,-0.22535211267605634,7.7,-0.10033590163174583,12,2.0,0.0,4.0
130,0.0,-0.336,0.0,0.0,0.0,-0.5865724381625441,-0.5823248742628269,-0.14285714285714285,-0.4,-0.9523407111917871,-0.8450704225352113,-0.6,-0.6339257264658479,11,2.0,1.0,3.0
131,2.0,-0.496,0.0,0.0,0.5,0.6148409893992933,-0.21328371608697194,-0.14285714285714285,0.2,1.376406331384282,1.6338028169014085,0.5,-0.4782022752948807,12,0.0,0.0,3.0
132,4.0,2.496,0.0,0.0,0.0,3.9363957597173145,-0.3244589820588821,-0.2857142857142857,-0.2,0.9988013086740081,0.16901408450704225,3.4,0.00164246957371317,12,0.0,0.0,3.0
133,0.0,0.944,0.0,0.0,0.0,-0.5865724381625441,0.02917074377980938,1.0,0.2,0.6483215473496732,0.0,-0.5,1.1130360585027972,11,1.0,1.0,4.0
134,1.0,0.288,0.0,0.0,1.0,0.9681978798586572,0.08826900453702356,-0.5714285714285714,-0.4,1.1060517571367967,0.6197183098591549,0.1,-0.0915083103191877,12,2.0,0.0,4.0
135,0.0,0.624,0.0,0.0,0.0,-0.303886925795053,-0.3333879612997875,-0.5714285714285714,-0.4,3.311932897151251,-0.22535211267605634,-0.2,0.35936409816200143,13,2.0,0.0,4.0
136,0.0,-0.336,0.0,0.0,0.0,-0.5865724381625441,-0.7737592730727095,-0.42857142857142855,-0.6,-0.9523407111917871,-0.8450704225352113,-0.6,-0.6339257264658479,13,2.0,0.0,4.0
137,0.0,0.944,0.0,0.0,0.0,-0.4452296819787986,0.17638674298053356,-0.14285714285714285,0.0,-0.15104895329830176,0.16901408450704225,-0.5,0.34546587234495385,13,0.0,0.0,4.0
138,0.0,0.624,0.0,0.0,0.0,-0.4452296819787986,-0.6030486242275007,-0.2857142857142857,-0.2,-0.47903187376638334,0.16901408450704225,-0.5,8.210932916833112,12,0.0,0.0,4.0
